Time,FSR Reading
1748626923.87855,484
1748626923.8804786,487
1748626923.8828764,488
1748626923.94729,489
1748626924.0476935,490
1748626924.1479433,491
1748626924.248494,492
1748626924.3487103,493
1748626924.449276,494
1748626924.5500436,495
1748626924.6498992,496
1748626924.7501092,497
1748626924.850651,498
1748626924.9509776,499
1748626925.0513303,500
1748626925.1517622,500
1748626925.2520194,501
1748626925.3527994,502
1748626925.4528027,503
1748626925.5532086,503
1748626925.6535547,504
1748626925.7538676,505
1748626925.8542807,506
1748626925.954626,506
1748626926.0549586,507
1748626926.1554008,508
1748626926.2560096,509
1748626926.3561559,510
1748626926.4564033,511
1748626926.5572176,511
1748626926.657562,512
1748626926.7575495,515
1748626926.8579733,514
1748626926.9583747,515
1748626927.058683,517
1748626927.1591327,517
1748626927.2595444,518
1748626927.3600693,520
1748626927.46026,521
1748626927.5605333,516
1748626927.6609862,516
1748626927.761333,507
1748626927.8617282,475
1748626927.962111,489
1748626928.0624495,445
1748626928.1633325,415
1748626928.2646344,1023
1748626928.3649745,1022
1748626928.465531,1023
1748626928.565367,1023
1748626928.6660676,1023
1748626928.7662935,1022
1748626928.8667154,1023
1748626928.9671133,1023
1748626929.0675442,1023
1748626929.1679292,1023
1748626929.2687156,1023
1748626929.3690503,1023
1748626929.4695551,1023
1748626929.570135,1001
1748626929.669334,997
1748626929.7698443,966
1748626929.8697445,942
1748626929.9703133,965
1748626930.0704844,979
1748626930.1708314,967
1748626930.2711318,986
1748626930.3715246,975
1748626930.4718938,971
1748626930.5724313,959
1748626930.672723,962
1748626930.773056,952
1748626930.874412,1001
1748626930.974894,1023
1748626931.074302,995
1748626931.174717,998
1748626931.2749453,985
1748626931.3753555,987
1748626931.4757557,984
1748626931.575993,983
1748626931.676431,980
1748626931.776858,973
1748626931.8772771,969
1748626931.977619,988
1748626932.0789912,1007
1748626932.1794484,1010
1748626932.2798135,1006
1748626932.3801649,1023
1748626932.4806316,1023
1748626932.5810502,1007
1748626932.6814332,1005
1748626932.7818122,1000
1748626932.881268,990
1748626932.9816217,982
1748626933.0820434,975
1748626933.1823838,982
1748626933.282717,957
1748626933.3830435,934
1748626933.4835317,932
1748626933.58377,929
1748626933.6841846,929
1748626933.7848618,933
1748626933.885081,928
1748626933.9854321,928
1748626934.0857995,928
1748626934.1863298,926
1748626934.2865222,923
1748626934.3871713,927
1748626934.4872088,935
1748626934.587598,939
1748626934.6878495,939
1748626934.7883167,943
1748626934.8886564,945
1748626934.9889822,943
1748626935.0894125,935
1748626935.1897025,935
1748626935.2901375,935
1748626935.3906097,935
1748626935.4909728,937
1748626935.5913267,938
1748626935.691701,940
1748626935.7922077,941
1748626935.8925834,942
1748626935.9927325,942
1748626936.0931387,941
1748626936.1935322,944
1748626936.2938643,940
1748626936.3943639,941
1748626936.494581,939
1748626936.5949106,933
1748626936.6953337,936
1748626936.7956564,934
1748626936.896232,932
1748626936.996507,931
1748626937.0968444,930
1748626937.1971958,924
1748626937.2976155,922
1748626937.3980176,923
1748626937.4981663,922
1748626937.5986726,918
1748626937.699116,911
1748626937.7995074,909
1748626937.900136,908
1748626938.0007894,906
1748626938.10068,904
1748626938.200788,904
1748626938.301299,903
1748626938.402012,902
1748626938.5025747,901
1748626938.6028993,900
1748626938.703361,899
1748626938.8031588,898
1748626938.9036016,896
1748626939.0038764,895
1748626939.1042264,894
1748626939.2047715,894
1748626939.3050194,892
1748626939.4054003,891
1748626939.5056949,890
1748626939.606614,888
1748626939.7071152,888
1748626939.807273,886
1748626939.9077363,885
1748626940.0081823,884
1748626940.1085014,882
1748626940.2087212,881
1748626940.3091776,880
1748626940.4090028,879
1748626940.5094023,878
1748626940.6098685,877
1748626940.7102113,875
1748626940.8105738,875
1748626940.9113815,873
1748626941.0112119,873
1748626941.1116173,872
1748626941.212071,871
1748626941.312493,870
1748626941.4126728,869
1748626941.5130372,868
1748626941.613587,867
1748626941.714207,865
1748626941.8143125,863
1748626941.9147193,859
1748626942.0150123,853
1748626942.1152215,847
1748626942.2157354,826
1748626942.3170385,1023
1748626942.4174702,1023
1748626942.5178807,1023
1748626942.6172895,900
1748626942.7176783,900
1748626942.8179631,895
1748626942.9183416,890
1748626943.0187774,885
1748626943.1192267,883
1748626943.219574,873
1748626943.3199494,867
1748626943.42019,827
1748626943.5205376,776
1748626943.6210473,767
1748626943.7215052,771
1748626943.8217006,780
1748626943.9222229,789
1748626944.0224752,799
1748626944.122906,814
1748626944.2233,823
1748626944.3237455,826
1748626944.4240303,827
1748626944.524312,831
1748626944.6248355,832
1748626944.7251325,831
1748626944.825561,831
1748626944.9259512,832
1748626945.02614,832
1748626945.1266508,832
1748626945.2269964,833
1748626945.3273807,832
1748626945.4276686,829
1748626945.5279627,829
1748626945.628594,829
1748626945.7288058,832
1748626945.8292105,850
1748626945.9296865,879
1748626946.0310452,1023
1748626946.1313589,1022
1748626946.231812,1022
1748626946.3321447,1023
1748626946.4325128,1023
1748626946.5320082,884
1748626946.63233,875
1748626946.7327194,875
1748626946.8331022,873
1748626946.9335237,871
1748626947.033821,869
1748626947.1340404,866
1748626947.234655,862
1748626947.3349175,858
1748626947.4353004,854
1748626947.5359113,846
1748626947.6362495,832
1748626947.7363396,825
1748626947.83677,827
1748626947.9370112,839
1748626948.0378702,856
1748626948.1377857,873
1748626948.2382376,877
1748626948.3386695,883
1748626948.438951,889
1748626948.5396802,894
1748626948.6398034,900
1748626948.7401085,907
1748626948.840555,909
1748626948.9409418,910
1748626949.0413058,916
1748626949.1416392,921
1748626949.2419024,915
1748626949.3424683,911
1748626949.442696,881
1748626949.5437434,881
1748626949.644059,911
1748626949.744271,911
1748626949.8443074,853
1748626949.9446461,851
1748626950.0450864,854
1748626950.1453109,962
1748626950.2469194,1022
1748626950.3471978,1023
1748626950.4466233,985
1748626950.546946,899
1748626950.6472905,897
1748626950.7476447,939
1748626950.8490434,1023
1748626950.9495268,1023
1748626951.0498302,1022
1748626951.1501937,1023
1748626951.2507434,1023
1748626951.350084,843
1748626951.4504995,831
1748626951.5510576,830
1748626951.6511762,830
1748626951.7514393,832
1748626951.8519125,833
1748626951.9522927,835
1748626952.0525708,836
1748626952.152897,836
1748626952.2535334,837
1748626952.3537967,837
1748626952.4541032,837
1748626952.554346,837
1748626952.6549313,836
1748626952.7552218,835
1748626952.8556714,835
1748626952.9559553,835
1748626953.0563054,834
1748626953.1567168,833
1748626953.2571476,833
1748626953.3575273,832
1748626953.4577525,832
1748626953.5582104,831
1748626953.6585875,830
1748626953.7588563,829
1748626953.8593566,829
1748626953.9596958,828
1748626954.0600035,827
1748626954.1605039,826
1748626954.2607698,826
1748626954.3611538,825
1748626954.4615178,825
1748626954.5619433,823
1748626954.6623402,823
1748626954.7627234,822
1748626954.862898,820
1748626954.963296,820
1748626955.0637846,819
1748626955.1641364,818
1748626955.2644196,818
1748626955.3648727,817
1748626955.4651809,816
1748626955.565637,816
1748626955.666581,815
1748626955.76656,814
1748626955.8669446,814
1748626955.967169,814
1748626956.0678647,814
1748626956.1683178,813
1748626956.2681165,812
1748626956.3687003,811
1748626956.4688768,811
1748626956.5696597,810
1748626956.6695879,809
1748626956.7699606,809
1748626956.8704126,809
1748626956.9710193,808
1748626957.0710287,807
1748626957.1717484,806
1748626957.2723103,806
1748626957.372517,805
1748626957.4727273,805
1748626957.5730503,805
1748626957.6737568,805
1748626957.7741063,805
1748626957.8744602,806
1748626957.9745848,808
1748626958.0748959,809
1748626958.1750915,811
1748626958.2755637,810
1748626958.375849,812
1748626958.4762897,829
1748626958.576805,835
1748626958.6771069,844
1748626958.7776778,846
1748626958.8778636,847
1748626958.9781246,849
1748626959.078594,849
1748626959.178953,845
1748626959.279312,844
1748626959.379716,835
1748626959.4799693,831
1748626959.5804129,830
1748626959.6807783,827
1748626959.7812097,826
1748626959.881505,818
1748626959.9818063,804
1748626960.0822213,799
1748626960.1826806,792
1748626960.2830398,774
1748626960.3834112,739
1748626960.483837,732
1748626960.5841107,744
1748626960.684503,798
